IBOV - Carteira do Dia 11/05/26
C�digo;A��o;Tipo;Qtde. Te�rica;Part. (%)
ALOS3;ALLOS;ON      NM;478.558.715;0,567;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,724;
ASAI3;ASSAI;ON      NM;1.338.623.499;0,485;
AURE3;AUREN;ON      NM;317.799.925;0,171;
AXIA3;AXIA ENERGIA;ON      N1;1.863.816.444;4,276;
AXIA6;AXIA ENERGIA;PNB     N1;266.311.915;0,671;
AZZA3;AZZAS 2154;ON      NM;109.571.260;0,087;
B3SA3;B3;ON      NM;4.997.059.816;3,499;
BBSE3;BBSEGURIDADE;ON      NM;616.248.544;0,831;
BBDC3;BRADESCO;ON  EJ  N1;1.464.429.403;0,923;
BBDC4;BRADESCO;PN  EJ  N1;5.100.889.966;3,703;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,225;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,420;
BRKM5;BRASKEM;PNA     N1;265.709.734;0,093;
BRAV3;BRAVA;ON      NM;462.883.017;0,317;
BPAC11;BTGP BANCO;UNT     N2;1.194.624.560;2,736;
CXSE3;CAIXA SEGURI;ON  ED  NM;600.000.000;0,415;
CEAB3;CEA MODAS;ON      NM;204.964.309;0,098;
CMIG4;CEMIG;PN  ED  N1;1.904.057.894;0,875;
COGN3;COGNA ON;ON      NM;1.915.914.094;0,211;
CSMG3;COPASA;ON      NM;188.467.895;0,401;
CPLE3;COPEL;ON  EJ  NM;2.969.406.694;1,794;
CSAN3;COSAN;ON      NM;2.242.671.999;0,450;
CPFE3;CPFL ENERGIA;ON  ED  NM;187.732.538;0,359;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,309;
CURY3;CURY S/A;ON      NM;160.988.231;0,196;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,246;
DIRR3;DIRECIONAL;ON      NM;327.091.595;0,169;
EMBJ3;EMBRAER;ON  ATZ NM;711.833.141;2,051;
ENGI11;ENERGISA;UNT     N2;325.503.046;0,670;
ENEV3;ENEVA;ON      NM;1.913.352.180;2,037;
EGIE3;ENGIE BRASIL;ON  ED  NM;357.310.487;0,478;
EQTL3;EQUATORIAL;ON      NM;1.247.728.993;2,061;
FLRY3;FLEURY;ON      NM;447.150.822;0,289;
GGBR4;GERDAU;PN      N1;1.258.208.269;1,174;
GOAU4;GERDAU MET;PN      N1;830.837.767;0,339;
HAPV3;HAPVIDA;ON      NM;271.662.290;0,125;
HYPE3;HYPERA;ON      NM;321.083.946;0,293;
IGTI11;IGUATEMI S.A;UNT     N1;205.800.982;0,226;
ISAE4;ISA ENERGIA;PN      N1;415.568.772;0,493;
ITSA4;ITAUSA;PN      N1;5.970.738.360;3,147;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.050.269.111;8,137;
KLBN11;KLABIN S/A;UNT     N2;804.572.623;0,540;
RENT3;LOCALIZA;ON      NM;978.479.038;1,906;
LREN3;LOJAS RENNER;ON      NM;982.593.716;0,551;
MGLU3;MAGAZ LUIZA;ON      NM;373.155.063;0,104;
POMO4;MARCOPOLO;PN      N2;728.266.241;0,183;
MBRF3;MARFRIG;ON      NM;761.175.338;0,513;
BEEF3;MINERVA;ON  ED  NM;454.804.863;0,073;
MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,621;
MRVE3;MRV;ON      NM;374.681.353;0,098;
MULT3;MULTIPLAN;ON      N2;320.022.221;0,397;
NATU3;NATURA;ON      NM;838.359.453;0,350;
PETR3;PETROBRAS;ON      N2;2.237.877.167;4,379;
PETR4;PETROBRAS;PN      N2;4.410.960.450;7,866;
RECV3;PETRORECSA;ON      NM;274.624.898;0,133;
PSSA3;PORTO SEGURO;ON      NM;178.825.403;0,360;
PRIO3;PRIO;ON      NM;757.265.605;1,871;
RADL3;RAIADROGASIL;ON      NM;1.313.915.830;1,076;
RDOR3;REDE D OR;ON      NM;1.091.469.308;1,632;
RAIL3;RUMO S.A.;ON  ED  NM;1.221.155.293;0,807;
SBSP3;SABESP;ON  EB  NM;2.870.627.990;3,489;
SANB11;SANTANDER BR;UNT;360.347.199;0,402;
CSNA3;SID NACIONAL;ON;727.975.012;0,190;
SLCE3;SLC AGRICOLA;ON      NM;220.403.658;0,149;
SMFT3;SMART FIT;ON      NM;556.651.316;0,440;
SUZB3;SUZANO S.A.;ON  ED  NM;612.918.471;1,046;
TAEE11;TAESA;UNT ED  N2;218.568.234;0,350;
VIVT3;TELEF BRASIL;ON;707.125.712;1,059;
TIMS3;TIM;ON      NM;777.451.080;0,708;
TOTS3;TOTVS;ON      NM;533.997.411;0,734;
UGPA3;ULTRAPAR;ON      NM;1.067.870.496;1,258;
USIM5;USIMINAS;PNA     N1;518.256.757;0,182;
VALE3;VALE;ON  ATZ NM;3.535.764.048;11,251;
VAMO3;VAMOS;ON      NM;448.052.066;0,066;
VBBR3;VIBRA;ON      NM;1.192.004.780;1,573;
VIVA3;VIVARA S.A.;ON      NM;123.698.325;0,120;
WEGE3;WEG;ON      NM;1.485.954.732;2,641;
YDUQ3;YDUQS PART;ON      NM;261.365.845;0,111;
Quantidade Te�rica Total;;;93.123.685.158;100,000
Redutor;;;13.910.085,26793474
